stage,date,distance,origin,destination,type,winner,winner_country,year
15,2004-07-20,180.5,Valréas,Villard-de-Lans,mountain stage,Lance Armstrong[n 1],USA,2004
16,2004-07-21,15.5,Le Bourg-d'Oisans,Alpe d'Huez,individual time trial,Lance Armstrong[n 1],USA,2004
17,2004-07-22,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,mountain stage,Lance Armstrong[n 1],USA,2004
18,2004-07-23,166.5,Annemasse,Lons-le-Saunier,hilly stage,Juan Miguel Mercado,ESP,2004
19,2004-07-24,55,Besançon,Besançon,individual time trial,Lance Armstrong[n 1],USA,2004
20,2004-07-25,163,Montereau-Fault-Yonne,Paris,plain stage,Tom Boonen,BEL,2004
P,2003-07-05,6.5,Paris,Paris,individual time trial,Bradley McGee,AUS,2003
1,2003-07-06,168,Saint-Denis,Meaux,plain stage,Alessandro Petacchi,ITA,2003
2,2003-07-07,204.5,La Ferté-sous-Jouarre,Sedan,plain stage,Baden Cooke,AUS,2003
3,2003-07-08,167.5,Charleville-Mézières,Saint-Dizier,plain stage,Alessandro Petacchi,ITA,2003
4,2003-07-09,69,Joinville,Saint-Dizier,team time trial,U.S. Postal Service,USA,2003
5,2003-07-10,196.5,Troyes,Nevers,plain stage,Alessandro Petacchi,ITA,2003
6,2003-07-11,230,Nevers,Lyon,plain stage,Alessandro Petacchi,ITA,2003
7,2003-07-12,230.5,Lyon,Morzine,stage with mountain(s),Richard Virenque,FRA,2003
8,2003-07-13,219,Sallanches,Alpe d'Huez,stage with mountain(s),Iban Mayo,ESP,2003
9,2003-07-14,184.5,Le Bourg-d'Oisans,Gap,stage with mountain(s),Alexander Vinokourov,KAZ,2003
10,2003-07-15,219.5,Gap,Marseille,plain stage,Jakob Piil,DEN,2003
11,2003-07-17,153.5,Narbonne,Toulouse,plain stage,Juan Antonio Flecha,ESP,2003
12,2003-07-18,47,Gaillac,Cap Découverte,individual time trial,Jan Ullrich,GER,2003
13,2003-07-19,197.5,Toulouse,Ax 3 Domaines,stage with mountain(s),Carlos Sastre,ESP,2003
14,2003-07-20,191.5,Saint-Girons,Loudenvielle,stage with mountain(s),Gilberto Simoni,ITA,2003
15,2003-07-21,159.5,Bagnères-de-Bigorre,Luz Ardiden,stage with mountain(s),Lance Armstrong[n 1],USA,2003
16,2003-07-23,197.5,Pau,Bayonne,stage with mountain(s),Tyler Hamilton,USA,2003
17,2003-07-24,181,Dax,Bordeaux,plain stage,Servais Knaven,NED,2003
18,2003-07-25,203.5,Bordeaux,Saint-Maixent-l'École,plain stage,Pablo Lastras,ESP,2003
19,2003-07-26,49,Pornic,Nantes,individual time trial,David Millar,GBR,2003
20,2003-07-27,152,Ville-d'Avray,Paris,plain stage,Jean-Patrick Nazon,FRA,2003
P,2002-07-06,7,Luxembourg City,Luxembourg City,individual time trial,Lance Armstrong[n 1],USA,2002
1,2002-07-07,192.5,Luxembourg City,Luxembourg City,plain stage,Rubens Bertogliati,SUI,2002
2,2002-07-08,181,Luxembourg City,Saarbrücken,plain stage,Óscar Freire,ESP,2002
3,2002-07-09,174.5,Metz,Reims,plain stage,Robbie McEwen,AUS,2002
4,2002-07-10,67.5,Épernay,Château-Thierry,team time trial,ONCE–Eroski,NA,2002
5,2002-07-11,195,Soissons,Rouen,plain stage,Jaan Kirsipuu,EST,2002
6,2002-07-12,199.5,Forges-les-Eaux,Alençon,plain stage,Erik Zabel,GER,2002
7,2002-07-13,176,Bagnoles-de-l'Orne,Avranches,plain stage,Bradley McGee,AUS,2002
8,2002-07-14,217.5,Saint-Martin-de-Landelles,Plouay,plain stage,Karsten Kroon,NED,2002
9,2002-07-15,52,Lanester,Lorient,individual time trial,Santiago Botero,COL,2002
10,2002-07-17,147,Bazas,Pau,plain stage,Patrice Halgand,FRA,2002
11,2002-07-18,158,Pau,La Mongie,stage with mountain(s),Lance Armstrong[n 1],USA,2002
12,2002-07-19,199.5,Lannemezan,Plateau de Beille,stage with mountain(s),Lance Armstrong[n 1],USA,2002
13,2002-07-20,171,Lavelanet,Béziers,plain stage,David Millar,GBR,2002
14,2002-07-21,221,Lodève,Mont Ventoux,stage with mountain(s),Richard Virenque,FRA,2002
15,2002-07-23,226.5,Vaison-la-Romaine,Les Deux Alpes,hilly stage,Santiago Botero,COL,2002
16,2002-07-24,179.5,Les Deux Alpes,La Plagne,stage with mountain(s),Michael Boogerd,NED,2002
17,2002-07-25,142,Aime,Cluses,stage with mountain(s),Dario Frigo,ITA,2002
18,2002-07-26,176.5,Cluses,Bourg-en-Bresse,hilly stage,Thor Hushovd,NOR,2002
19,2002-07-27,50,Régnié-Durette,Mâcon,individual time trial,Lance Armstrong[n 1],USA,2002
20,2002-07-28,144,Melun,Paris,plain stage,Robbie McEwen,AUS,2002
P,2001-07-07,8.2,Dunkirk,Dunkirk,individual time trial,Christophe Moreau,FRA,2001
1,2001-07-08,194.5,Saint-Omer,Boulogne-sur-Mer,plain stage,Erik Zabel,GER,2001
2,2001-07-09,220.5,Calais,Antwerp,plain stage,Marc Wauters,BEL,2001
3,2001-07-10,198.5,Antwerp,Seraing,plain stage,Erik Zabel,GER,2001
4,2001-07-11,215,Huy,Verdun,plain stage,Laurent Jalabert,FRA,2001
5,2001-07-12,67,Verdun,Bar-le-Duc,team time trial,Crédit Agricole,NA,2001
6,2001-07-13,211.5,Commercy,Strasbourg,plain stage,Jaan Kirsipuu,EST,2001
7,2001-07-14,162.5,Strasbourg,Colmar,hilly stage,Laurent Jalabert,FRA,2001
8,2001-07-15,222.5,Colmar,Pontarlier,plain stage,Erik Dekker,NED,2001
9,2001-07-16,185,Pontarlier,Aix-les-Bains,plain stage,Serguei Ivanov,RUS,2001
10,2001-07-17,209,Aix-les-Bains,Alpe d'Huez,stage with mountain(s),Lance Armstrong[n 1],USA,2001
11,2001-07-18,32,Grenoble,Chamrousse,individual time trial,Lance Armstrong[n 1],USA,2001
12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,stage with mountain(s),Félix Cárdenas,COL,2001
13,2001-07-21,194,Foix,Saint-Lary-Soulan Pla d'Adet,stage with mountain(s),Lance Armstrong[n 1],USA,2001
14,2001-07-22,141.5,Tarbes,Luz Ardiden,stage with mountain(s),Roberto Laiseka,ESP,2001
15,2001-07-24,232.5,Pau,Lavaur,plain stage,Rik Verbrugghe,BEL,2001
16,2001-07-25,229.5,Castelsarrasin,Sarran,plain stage,Jens Voigt,GER,2001
17,2001-07-26,194,Brive-la-Gaillarde,Montluçon,plain stage,Serge Baguet,BEL,2001
18,2001-07-27,61,Montluçon,Saint-Amand-Montrond,individual time trial,Lance Armstrong[n 1],USA,2001
19,2001-07-28,149.5,Orléans,Évry,plain stage,Erik Zabel,GER,2001
20,2001-07-29,160.5,Corbeil-Essonnes,Paris,plain stage,Ján Svorada,CZE,2001
1,2000-07-01,16.5,Futuroscope,Futuroscope,individual time trial,David Millar,GBR,2000
2,2000-07-02,194,Futuroscope,Loudun,plain stage,Tom Steels,BEL,2000
3,2000-07-03,161.5,Loudun,Nantes,plain stage,Tom Steels,BEL,2000
4,2000-07-04,70,Nantes,Saint-Nazaire,team time trial,ONCE–Deutsche Bank,NA,2000
5,2000-07-05,202,Vannes,Vitré,plain stage,Marcel Wüst,GER,2000
6,2000-07-06,198.5,Vitré,Tours,plain stage,Leon van Bon,NED,2000
7,2000-07-07,205.5,Tours,Limoges,plain stage,Christophe Agnolutto,FRA,2000
8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,plain stage,Erik Dekker,NED,2000
9,2000-07-09,181,Agen,Dax,plain stage,Paolo Bettini,ITA,2000
10,2000-07-10,205,Dax,Hautacam,stage with mountain(s),Javier Otxoa,ESP,2000
11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,hilly stage,Erik Dekker,NED,2000
12,2000-07-13,149,Carpentras,Mont Ventoux,stage with mountain(s),Marco Pantani,ITA,2000
13,2000-07-14,185.5,Avignon,Draguignan,plain stage,José Vicente Garcia,ESP,2000
14,2000-07-15,249.5,Draguignan,Briançon,stage with mountain(s),Santiago Botero,COL,2000
15,2000-07-16,173.5,Briançon,Courchevel,stage with mountain(s),Marco Pantani,ITA,2000
16,2000-07-18,196.5,Courchevel,Morzine,stage with mountain(s),Richard Virenque,FRA,2000
17,2000-07-19,155,Évian-les-Bains,Lausanne,hilly stage,Erik Dekker,NED,2000
18,2000-07-20,246.5,Lausanne,Freiburg,plain stage,Salvatore Commesso,ITA,2000
19,2000-07-21,58.5,Freiburg,Mulhouse,individual time trial,Lance Armstrong[n 1],USA,2000
20,2000-07-22,254.5,Belfort,Troyes,plain stage,Erik Zabel,GER,2000
21,2000-07-23,138,Paris,Paris,plain stage,Stefano Zanini,ITA,2000
P,1999-07-03,6.8,Le Puy du Fou,Le Puy du Fou,individual time trial,Lance Armstrong[n 1],USA,1999
1,1999-07-04,208,Montaigu,Challans,plain stage,Jaan Kirsipuu,EST,1999
2,1999-07-05,176,Challans,Saint-Nazaire,plain stage,Tom Steels,BEL,1999
3,1999-07-06,194.5,Nantes,Laval,plain stage,Tom Steels,BEL,1999
4,1999-07-07,194.5,Laval,Blois,plain stage,Mario Cipollini,ITA,1999
5,1999-07-08,233.5,Bonneval,Amiens,plain stage,Mario Cipollini,ITA,1999
6,1999-07-09,171.5,Amiens,Maubeuge,plain stage,Mario Cipollini,ITA,1999
7,1999-07-10,227,Avesnes-sur-Helpe,Thionville,plain stage,Mario Cipollini,ITA,1999
8,1999-07-11,56.5,Metz,Metz,individual time trial,Lance Armstrong[n 1],USA,1999
9,1999-07-13,213.5,Le Grand-Bornand,Sestrières,stage with mountain(s),Lance Armstrong[n 1],USA,1999
10,1999-07-14,220.5,Sestrières,Alpe d'Huez,stage with mountain(s),Giuseppe Guerini,ITA,1999
11,1999-07-15,198.5,Le Bourg-d'Oisans,Saint-Étienne,hilly stage,Ludo Dierckxsens,BEL,1999
12,1999-07-16,201.5,Saint-Galmier,Saint-Flour,hilly stage,David Etxebarria,ESP,1999
13,1999-07-17,236.5,Saint-Flour,Albi,hilly stage,Salvatore Commesso,ITA,1999
14,1999-07-18,199,Castres,Saint-Gaudens,plain stage,Dmitri Konychev,RUS,1999
15,1999-07-20,173,Saint-Gaudens,Piau-Engaly,stage with mountain(s),Fernando Escartín,ESP,1999
16,1999-07-21,192,Lannemezan,Pau,stage with mountain(s),David Etxebarria,ESP,1999
17,1999-07-22,200,Mourenx,Bordeaux,plain stage,Tom Steels,BEL,1999
18,1999-07-23,187.5,Jonzac,Futuroscope,plain stage,Giampaolo Mondini,ITA,1999
19,1999-07-24,57,Futuroscope,Futuroscope,individual time trial,Lance Armstrong[n 1],USA,1999
20,1999-07-25,143.5,Arpajon,Paris,plain stage,Robbie McEwen,AUS,1999
P,1998-07-11,5.6,Dublin,Dublin,individual time trial,Chris Boardman,GBR,1998
1,1998-07-12,180.5,Dublin,Dublin,plain stage,Tom Steels,BEL,1998
2,1998-07-13,205.5,Enniscorthy,Cork,plain stage,Ján Svorada,CZE,1998
3,1998-07-14,169,Roscoff,Lorient,plain stage,Jens Heppner,GER,1998
4,1998-07-15,252,Plouay,Cholet,plain stage,Jeroen Blijlevens,NED,1998
5,1998-07-16,228.5,Cholet,Châteauroux,plain stage,Mario Cipollini,ITA,1998
6,1998-07-17,204.5,La Châtre,Brive-la-Gaillarde,plain stage,Mario Cipollini,ITA,1998
7,1998-07-18,58,Meyrignac-l'Église,Corrèze,individual time trial,Jan Ullrich,GER,1998
8,1998-07-19,190.5,Brive-la-Gaillarde,Montauban,plain stage,Jacky Durand,FRA,1998
9,1998-07-20,210,Montauban,Pau,plain stage,Leon van Bon,NED,1998
10,1998-07-21,196.5,Pau,Luchon,stage with mountain(s),Rodolfo Massi,ITA,1998
11,1998-07-22,170,Luchon,Plateau de Beille,stage with mountain(s),Marco Pantani,ITA,1998
12,1998-07-24,222,Tarascon-sur-Ariège,Le Cap d'Agde,plain stage,Tom Steels,BEL,1998
13,1998-07-25,196,Frontignan la Peyrade,Carpentras,plain stage,Daniele Nardello,ITA,1998
14,1998-07-26,186.5,Valréas,Grenoble,hilly stage,Stuart O'Grady,AUS,1998
15,1998-07-27,189,Grenoble,Les Deux Alpes,stage with mountain(s),Marco Pantani,ITA,1998
16,1998-07-28,204,Vizille,Albertville,stage with mountain(s),Jan Ullrich,GER,1998
17,1998-07-29,149,Albertville,Aix-les-Bains,stage with mountain(s),—,NA,1998
18,1998-07-30,218.5,Aix-les-Bains,Neuchâtel,hilly stage,Tom Steels,BEL,1998
19,1998-07-31,242,La Chaux-de-Fonds,Autun,plain stage,Magnus Bäckstedt,SWE,1998
20,1998-08-01,52,Montceau-les-Mines,Le Creusot,individual time trial,Jan Ullrich,GER,1998
21,1998-08-02,147.5,Melun,Paris,plain stage,Tom Steels,BEL,1998
P,1997-07-05,7.3,Rouen,Rouen,individual time trial,Chris Boardman,GBR,1997
1,1997-07-06,192,Rouen,Forges-les-Eaux,flat stage,Mario Cipollini,ITA,1997
2,1997-07-07,262,Saint-Valery-en-Caux,Vire,flat stage,Mario Cipollini,ITA,1997
3,1997-07-08,224,Vire,Plumelec,flat stage,Erik Zabel,GER,1997
4,1997-07-09,223,Plumelec,Le Puy du Fou,flat stage,Nicola Minali,ITA,1997
5,1997-07-10,261.5,Chantonnay,La Châtre,flat stage,Cédric Vasseur,FRA,1997
6,1997-07-11,217.5,Le Blanc,Marennes,flat stage,Jeroen Blijlevens,NED,1997
7,1997-07-12,194,Marennes,Bordeaux,flat stage,Erik Zabel,GER,1997
8,1997-07-13,161.5,Sauternes,Pau,flat stage,Erik Zabel,GER,1997
9,1997-07-14,182,Pau,Loudenvielle,mountain stage,Laurent Brochard,FRA,1997
10,1997-07-15,252.5,Luchon,Andorra Arcalis,mountain stage,Jan Ullrich,GER,1997
11,1997-07-16,192,Andorra Arcalis,Perpignan,hilly stage,Laurent Desbiens,FRA,1997
12,1997-07-18,55,Saint-Étienne,Saint-Étienne,individual time trial,Jan Ullrich,GER,1997
13,1997-07-19,203.5,Saint-Étienne,Alpe d'Huez,mountain stage,Marco Pantani,ITA,1997
14,1997-07-20,148,Le Bourg-d'Oisans,Courchevel,mountain stage,Richard Virenque,FRA,1997
15,1997-07-21,208.5,Courchevel,Morzine,mountain stage,Marco Pantani,ITA,1997
16,1997-07-22,181,Morzine,Fribourg,hilly stage,Christophe Mengin,FRA,1997
17,1997-07-23,218.5,Fribourg,Colmar,flat stage,Neil Stephens,AUS,1997
18,1997-07-24,175.5,Colmar,Montbéliard,hilly stage,Didier Rous,FRA,1997
19,1997-07-25,172,Montbéliard,Dijon,flat stage,Mario Traversoni,ITA,1997
20,1997-07-26,63,Disneyland Paris,Disneyland Paris,individual time trial,Abraham Olano,ESP,1997
21,1997-07-27,149.5,Disneyland Paris,Paris,flat stage,Nicola Minali,ITA,1997
P,1996-06-29,9.4,'s-Hertogenbosch,'s-Hertogenbosch,individual time trial,Alex Zülle,SUI,1996
1,1996-06-30,209,'s-Hertogenbosch,'s-Hertogenbosch,plain stage,Frédéric Moncassin,FRA,1996
2,1996-07-01,247.5,'s-Hertogenbosch,Wasquehal,plain stage,Mario Cipollini,ITA,1996
3,1996-07-02,195,Wasquehal,Nogent-sur-Oise,plain stage,Erik Zabel,GER,1996
4,1996-07-03,232,Soissons,Lac de Madine,plain stage,Cyril Saugrain,FRA,1996
5,1996-07-04,242,Lac de Madine,Besançon,plain stage,Jeroen Blijlevens,NED,1996
6,1996-07-05,207,Arc-et-Senans,Aix-les-Bains,hilly stage,Michael Boogerd,NED,1996
7,1996-07-06,200,Chambéry,Les Arcs,stage with mountain(s),Luc Leblanc,FRA,1996
8,1996-07-07,30.5,Bourg-Saint-Maurice,Val d'Isère,individual time trial,Evgueni Berzin,RUS,1996
9,1996-07-08,46,Le Monêtier-les-Bains,Sestriere,stage with mountain(s),Bjarne Riis,DEN,1996
10,1996-07-09,208.5,Turin,Gap,hilly stage,Erik Zabel,GER,1996
11,1996-07-11,202,Gap,Valence,hilly stage,José Jaime Gonzalez,COL,1996
12,1996-07-12,143.5,Valence,Le Puy-en-Velay,hilly stage,Pascal Richard,SUI,1996
13,1996-07-13,177,Le Puy-en-Velay,Super Besse,hilly stage,Rolf Sørensen,DEN,1996
14,1996-07-14,186.5,Besse,Tulle,hilly stage,Djamolidine Abduzhaparov,UZB,1996
15,1996-07-15,176,Brive-la-Gaillarde,Villeneuve-sur-Lot,plain stage,Massimo Podenzana,ITA,1996
16,1996-07-16,199,Agen,Hautacam,stage with mountain(s),Bjarne Riis,DEN,1996
17,1996-07-17,262,Argelès-Gazost,Pamplona,stage with mountain(s),Laurent Dufaux,SUI,1996
18,1996-07-18,154.5,Pamplona,Hendaye,hilly stage,Bart Voskamp,NED,1996
19,1996-07-19,226.5,Hendaye,Bordeaux,plain stage,Frédéric Moncassin,FRA,1996
20,1996-07-20,63.5,Bordeaux,Saint-Émilion,individual time trial,Jan Ullrich,GER,1996
21,1996-07-21,147.5,Palaiseau,Paris,plain stage,Fabio Baldato,ITA,1996
P,1995-07-01,7.3,Saint-Brieuc,Saint-Brieuc,individual time trial,Jacky Durand,FRA,1995
1,1995-07-02,233.5,Dinan,Lannion,plain stage,Fabio Baldato,ITA,1995
2,1995-07-03,235.5,Perros-Guirec,Vitre,plain stage,Mario Cipollini,ITA,1995
3,1995-07-04,67,Mayenne,Alençon,team time trial,Gewiss–Ballan,NA,1995
4,1995-07-05,162,Alençon,Le Havre,plain stage,Mario Cipollini,ITA,1995
5,1995-07-06,261,Fécamp,Dunkirk,plain stage,Jeroen Blijlevens,NED,1995
6,1995-07-07,202,Dunkirk,Charleroi,plain stage,Erik Zabel,GER,1995
7,1995-07-08,203,Charleroi,Liège,hilly stage,Johan Bruyneel,BEL,1995
8,1995-07-09,54,Huy,Seraing,individual time trial,Miguel Indurain,ESP,1995
9,1995-07-11,160,Le Grand-Bornand,La Plagne,stage with mountain(s),Alex Zülle,SUI,1995
10,1995-07-12,162.5,La Plagne,L'Alpe d'Huez,stage with mountain(s),Marco Pantani,ITA,1995
11,1995-07-13,199,Le Bourg-d'Oisans,Saint-Étienne,hilly stage,Maximilian Sciandri,GBR,1995
12,1995-07-14,222.5,Saint-Étienne,Mende,hilly stage,Laurent Jalabert,FRA,1995
13,1995-07-15,245,Mende,Revel,plain stage,Serhiy Utchakov,UKR,1995
14,1995-07-16,164,Saint-Orens-de-Gameville,Guzet-Neige,stage with mountain(s),Marco Pantani,ITA,1995
15,1995-07-18,206,Saint-Girons,Cauterets,stage with mountain(s),Richard Virenque,FRA,1995
16,1995-07-19,149,Tarbes,Pau,stage with mountain(s),Cancelled,NA,1995
17,1995-07-20,246,Pau,Bordeaux,plain stage,Erik Zabel,GER,1995
18,1995-07-21,166.5,Montpon-Ménestérol,Limoges,plain stage,Lance Armstrong,USA,1995
19,1995-07-22,46.5,Lac de Vassivière,Lac de Vassivière,individual time trial,Miguel Indurain,ESP,1995
20,1995-07-23,155,Sainte-Geneviève-des-Bois,Paris,plain stage,Djamolidine Abdoujaparov,UZB,1995
P,1994-07-02,7.2,Lille,Lille,individual time trial,Chris Boardman,GBR,1994
1,1994-07-03,234,Lille,Armentières,plain stage,Djamolidine Abdoujaparov,UZB,1994
2,1994-07-04,203.5,Roubaix,Boulogne-sur-Mer,plain stage,Jean-Paul van Poppel,NED,1994
3,1994-07-05,66.5,Calais,Eurotunnel,team time trial,GB–MG Maglificio,NA,1994
4,1994-07-06,204.5,Dover, Brighton,plain stage,Francisco Cabello,ESP,1994
5,1994-07-07,187,Portsmouth,Portsmouth,plain stage,Nicola Minali,ITA,1994
6,1994-07-08,270.5,Cherbourg,Rennes,plain stage,Gianluca Bortolami,ITA,1994
7,1994-07-09,259.5,Rennes,Futuroscope,plain stage,Ján Svorada,SVK,1994
8,1994-07-10,218.5,Poitiers,Trélissac,plain stage,Bo Hamburger,DEN,1994
9,1994-07-11,64,Périgueux,Bergerac,individual time trial,Miguel Indurain,ESP,1994
10,1994-07-12,160.5,Bergerac,Cahors,plain stage,Jacky Durand,FRA,1994
11,1994-07-13,263.5,Cahors,Hautacam,stage with mountain(s),Luc Leblanc,FRA,1994
12,1994-07-15,204.5,Lourdes,Luz Ardiden,stage with mountain(s),Richard Virenque,FRA,1994
13,1994-07-16,223,Bagnères-de-Bigorre,Albi,plain stage,Bjarne Riis,DEN,1994
14,1994-07-17,202,Castres,Montpellier,plain stage,Rolf Sørensen,DEN,1994
15,1994-07-18,231,Montpellier,Carpentras,stage with mountain(s),Eros Poli,ITA,1994
16,1994-07-19,224.5,Valréas,Alpe d'Huez,stage with mountain(s),Roberto Conti,ITA,1994
17,1994-07-20,149,Le Bourg-d'Oisans,Val Thorens,stage with mountain(s),Nelson Rodriguez,COL,1994
18,1994-07-21,174.5,Moutiers,Cluses,stage with mountain(s),Piotr Ugrumov,LAT,1994
19,1994-07-22,47.5,Cluses,Avoriaz,mountain time trial,Piotr Ugrumov,LAT,1994
20,1994-07-23,208.5,Morzine,Lac Saint-Point,hilly stage,Djamolidine Abdoujaparov,UZB,1994
21,1994-07-24,175,Disneyland Paris,Paris,plain stage,Eddy Seigneur,FRA,1994
P,1993-07-03,6.8,Le Puy du Fou,Le Puy du Fou,individual time trial,Miguel Indurain,ESP,1993
1,1993-07-04,215,Luçon,Les Sables-d'Olonne,plain stage,Mario Cipollini,ITA,1993
2,1993-07-05,227.5,Les Sables-d'Olonne,Vannes,plain stage,Wilfried Nelissen,BEL,1993
3,1993-07-06,189.5,Vannes,Dinard,plain stage,Djamolidine Abdoujaparov,UZB,1993
4,1993-07-07,81,Dinard,Avranches,team time trial,GB–MG Maglificio,NA,1993
5,1993-07-08,225.5,Avranches,Évreux,plain stage,Jesper Skibby,DEN,1993
6,1993-07-09,158,Évreux,Amiens,plain stage,Johan Bruyneel,BEL,1993
7,1993-07-10,199,Péronne,Châlons-sur-Marne,plain stage,Bjarne Riis,DEN,1993
8,1993-07-11,184.5,Châlons-sur-Marne,Verdun,plain stage,Lance Armstrong,USA,1993
9,1993-07-12,59,Lac de Madine,Lac de Madine,individual time trial,Miguel Indurain,ESP,1993
10,1993-07-14,203,Villard-de-Lans,Serre Chevalier,stage with mountain(s),Toni Rominger,SUI,1993
11,1993-07-15,179,Serre Chevalier,Isola 2000,stage with mountain(s),Toni Rominger,SUI,1993
12,1993-07-16,286.5,Isola,Marseille,plain stage,Fabio Roscioli,ITA,1993
13,1993-07-17,181.5,Marseille,Montpellier,plain stage,Olaf Ludwig,GER,1993
14,1993-07-18,223,Montpellier,Perpignan,plain stage,Pascal Lino,FRA,1993
15,1993-07-19,231.5,Perpignan,Pal,stage with mountain(s),Oliverio Rincón,COL,1993
16,1993-07-21,230,Andorra,Saint-Lary-Soulan Pla d'Adet,stage with mountain(s),Zenon Jaskuła,POL,1993
17,1993-07-22,190,Tarbes,Pau,stage with mountain(s),Claudio Chiappucci,ITA,1993
18,1993-07-23,199.5,Orthez,Bordeaux,plain stage,Djamolidine Abdoujaparov,UZB,1993
19,1993-07-24,48,Brétigny-sur-Orge,Montlhéry,individual time trial,Toni Rominger,SUI,1993
20,1993-07-25,196.5,Viry-Châtillon,Paris,plain stage,Djamolidine Abdoujaparov,UZB,1993
P,1992-07-04,8,San Sebastián,San Sebastián,individual time trial,Miguel Indurain,ESP,1992
1,1992-07-05,194.5,San Sebastián,San Sebastián,hilly stage,Dominique Arnould,FRA,1992
2,1992-07-06,255,San Sebastián,Pau,hilly stage,Javier Murguialday,ESP,1992
3,1992-07-07,210,Pau,Bordeaux,plain stage,Rob Harmeling,NED,1992
4,1992-07-08,63.5,Libourne,Libourne,team time trial,Panasonic–Sportlife,NA,1992
5,1992-07-09,196,Nogent-sur-Oise,Wasquehal,plain stage,Guido Bontempi,ITA,1992
6,1992-07-10,167,Roubaix,Brussels,plain stage,Laurent Jalabert,FRA,1992
7,1992-07-11,196.5,Brussels,Valkenburg,plain stage,Gilles Delion,FRA,1992
8,1992-07-12,206.5,Valkenburg,Koblenz,plain stage,Jan Nevens,BEL,1992
9,1992-07-13,65,Luxembourg City,Luxembourg City,individual time trial,Miguel Indurain,ESP,1992
10,1992-07-14,217,Luxembourg City,Strasbourg,plain stage,Jean-Paul van Poppel,NED,1992
11,1992-07-15,249.5,Strasbourg,Mulhouse,hilly stage,Laurent Fignon,FRA,1992
12,1992-07-16,267.5,Dole,St Gervais,hilly stage,Rolf Järmann,SUI,1992
13,1992-07-18,254.5,St Gervais,Sestriere,stage with mountain(s),Claudio Chiappucci,ITA,1992
14,1992-07-19,186.5,Sestriere,Alpe d'Huez,stage with mountain(s),Andrew Hampsten,USA,1992
15,1992-07-20,198,Le Bourg-d'Oisans,Saint-Étienne,hilly stage,Franco Chioccioli,ITA,1992
16,1992-07-21,212,Saint-Étienne,La Bourboule,hilly stage,Stephen Roche,IRE,1992
17,1992-07-22,189,La Bourboule,Montluçon,plain stage,Jean-Claude Colotti,FRA,1992
18,1992-07-23,212,Montluçon,Tours,plain stage,Thierry Marie,FRA,1992
19,1992-07-24,64,Tours,Blois,individual time trial,Miguel Indurain,ESP,1992
20,1992-07-25,222,Blois,Nanterre,plain stage,Peter De Clercq,BEL,1992
21,1992-07-26,141,La Défense,Paris,plain stage,Olaf Ludwig,GER,1992
P,1991-07-06,5.4,Lyon,Lyon,individual time trial,Thierry Marie,FRA,1991
1,1991-07-07,114.5,Lyon,Lyon,plain stage,Djamolidine Abdoujaparov,URS,1991
2,1991-07-07,36.5,Bron,Chassieu,team time trial,Ariostea,NA,1991
3,1991-07-08,210.5,Villeurbanne,Dijon,plain stage,Etienne De Wilde,BEL,1991
4,1991-07-09,286,Dijon,Reims,plain stage,Djamolidine Abdoujaparov,URS,1991
5,1991-07-10,149.5,Reims,Valenciennes,plain stage,Jelle Nijdam,NED,1991
6,1991-07-11,259,Arras,Le Havre,plain stage,Thierry Marie,FRA,1991
7,1991-07-12,167,Le Havre,Argentan,plain stage,Jean-Paul van Poppel,NED,1991
8,1991-07-13,73,Argentan,Alençon,individual time trial,Miguel Indurain,ESP,1991
9,1991-07-14,161,Alençon,Rennes,plain stage,Mauro Ribeiro,BRA,1991
10,1991-07-15,207.5,Rennes,Quimper,plain stage,Phil Anderson,AUS,1991
11,1991-07-16,246,Quimper,Saint-Herblain,plain stage,Charly Mottet,FRA,1991
12,1991-07-18,192,Pau,Jaca,stage with mountain(s),Charly Mottet,FRA,1991
13,1991-07-19,232,Jaca,Val-Louron,stage with mountain(s),Claudio Chiappucci,ITA,1991
14,1991-07-20,172.5,St Gaudens,Castres,plain stage,Bruno Cenghialta,ITA,1991
15,1991-07-21,235,Albi,Ales,hilly stage,Moreno Argentin,ITA,1991
16,1991-07-22,215,Alès,Gap,plain stage,Marco Lietti,ITA,1991
17,1991-07-23,125,Gap,Alpe d'Huez,stage with mountain(s),Gianni Bugno,ITA,1991
18,1991-07-24,255,Le Bourg-d'Oisans,Morzine,stage with mountain(s),Thierry Claveyrolat,FRA,1991
19,1991-07-25,177,Morzine,Aix-les-Bains,hilly stage,Dmitri Konychev,URS,1991
20,1991-07-26,160,Aix-les-Bains,Mâcon,hilly stage,Viatcheslav Ekimov,URS,1991
21,1991-07-27,57,Lugny,Mâcon,individual time trial,Miguel Indurain,ESP,1991
22,1991-07-28,178,Melun,Paris,plain stage,Dmitri Konychev,URS,1991
P,1990-06-30,6.3,Futuroscope,Futuroscope,individual time trial,Thierry Marie,FRA,1990
1,1990-07-01,138.5,Futuroscope,Futuroscope,plain stage,Frans Maassen,NED,1990
2,1990-07-01,44.5,Futuroscope,Futuroscope,team time trial,Panasonic–Sportlife,NA,1990
3,1990-07-02,233,Poitiers,Nantes,plain stage,Moreno Argentin,ITA,1990
